patent_number,kind,type,provenance,title,assignee,matched_assignee,inventor,priority_date,filing_date,publication_date,grant_date,pdf,google_patents_url,abstract
US20250329068A1,A1,application,snap_filed,Image generation using surface-based neural synthesis,Snap Inc.,Snap Inc,Iason Kokkinos,2019-11-15,2025-07-03,2025-10-23,,,https://patents.google.com/patent/US20250329068A1/en,"CLAIM FOR PRIORITY This present application is a continuation of U.S. patent application Ser. No. 17/812,864, filed Jul. 15, 2022, which is a continuation of U.S. patent application Ser. No. 16/949,773, filed Nov. 13, 2020, which claims the benefit of priority to U.S. Provisional Application Ser."
US20250329181A1,A1,application,snap_filed,On-device two step approximate string matching,Snap Inc.,Snap Inc,Vasyl Pihur,2021-12-28,2025-06-30,2025-10-23,,,https://patents.google.com/patent/US20250329181A1/en,"According to certain embodiments, subsequent to generating the one or more bigrams, the fuzzy search system may <b>assign</b> a weight to each of the one or more skip bigrams, wherein the weight may be represented as λ k , where λ is the decay parameter and k is the order of the skip-bigram. In a case when &hellip;"
US20250329096A1,A1,application,snap_filed,Animated expressive icon,Snap Inc.,Snap Inc,Newar Husam Al Majid,2018-02-28,2025-06-30,2025-10-23,,,https://patents.google.com/patent/US20250329096A1/en,"&hellip;  the expressive icon system 124 to capture facial tracking data, <b>assign</b> the facial tracking data to a graphical icon (e.g., a bitmoji, an animated expressive icon), and present the graphical icon based on the facial tracking data, according to some example embodiments. The expressive icon system 124"
US20250308176A1,A1,application,snap_filed,Generating user interfaces displaying augmented reality graphics,Snap Inc.,Snap Inc,Sharon Moll,2023-02-21,2025-06-10,2025-10-02,,,https://patents.google.com/patent/US20250308176A1/en,An Augmented Reality (AR) graphics system is provided. The AR graphics system may coordinate the display of augmented reality graphics created by multiple users located in an environment. The AR graphics system may determine an alignment object located in the environment that is designated as a &hellip;
US20250299248A1,A1,application,other_assignee,"Augmented reality social media platform, systems, and methods related thereto","Flying Eye Reality, Inc.",Snap Inc,Raymond Charles Shingler,2023-01-12,2025-06-04,2025-09-25,,,https://patents.google.com/patent/US20250299248A1/en,Augmented reality social media platforms and methods of managing the same in which a real-world defined area is virtually mapped to include a plurality of leasable virtual subdivisions each corresponding to a real-world subdivision of the real-world defined area. A platform may <b>assign</b> a virtual &hellip;
US20250291416A1,A1,application,snap_filed,Emg speech signal detection,Snap Inc.,Snap Inc,Mark Kliger,2023-04-17,2025-06-02,2025-09-18,,,https://patents.google.com/patent/US20250291416A1/en,"Methods and systems are disclosed for training a machine learning (ML) model to detect inner speech. The system collects, by an electromyograph (EMG) communication device used by a user, a first set of EMG signals over a first time interval. The system generates a first plurality of features based &hellip;"
US20250285391A1,A1,application,snap_filed,Virtual surface modification,Snap Inc.,Snap Inc,Kyle Goodrich,2018-12-20,2025-05-22,2025-09-11,,,https://patents.google.com/patent/US20250285391A1/en,Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing at least one program and a method for rendering virtual modifications to real-world environments depicted in image content. A reference surface is detected in a three-dimensional (3D) space &hellip;
US20250278781A1,A1,application,snap_filed,Home based augmented reality shopping,Snap Inc.,Snap Inc,Avihay Assouline,2021-04-12,2025-05-08,2025-09-04,,,https://patents.google.com/patent/US20250278781A1/en,Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing a program and a method for performing operations comprising: receiving a video that includes a depiction of one or more objects in a room within a home; determining a room classification for &hellip;
US20250252685A1,A1,application,snap_filed,Augmented reality anamorphosis system,Snap Inc.,Snap Inc,Piers George Cowburn,2017-02-17,2025-04-23,2025-08-07,,,https://patents.google.com/patent/US20250252685A1/en,"In some example embodiments, users may generate and tag their own anamorphic media to locations. A user at a location may generate anamorphic media to be displayed in a space, and <b>assign</b> the anamorphic media to a position in the space. For example, the user may specify the position of the &hellip;"
US20250265791A1,A1,application,snap_filed,Ar position and orientation along a plane,Snap Inc.,Snap Inc,Avihay Assouline,2021-12-30,2025-04-10,2025-08-21,,,https://patents.google.com/patent/US20250265791A1/en,Aspects of the present disclosure involve a system for presenting AR items. The system performs operations including receiving a video that includes a depiction of one or more real-world objects in a real-world environment and obtaining depth data related to the real-world environment. The &hellip;
US20250240342A1,A1,application,snap_filed,Content collection navigation and autoforwarding,Snap Inc.,Snap Inc,Jacob Andreou,2016-03-29,2025-03-13,2025-07-24,,,https://patents.google.com/patent/US20250240342A1/en,"Systems and methods for communicating and displaying collections of image and video clip content are described. In one example embodiment, a device receives interface information about a group of content collections from a server computer system. When a user inputs a selection of a first content &hellip;"
US20250225981A1,A1,application,snap_filed,Messaging system with trend analysis of content,Snap Inc.,Snap Inc,Leonardo Ribas Machado das Neves,2020-04-24,2025-02-28,2025-07-10,,https://patentimages.storage.googleapis.com/c3/8e/34/1bae77040ccee3/US20250225981A1.pdf,https://patents.google.com/patent/US20250225981A1/en,A messaging system performs trend analysis on content produced by users of the messaging system. The messaging system is configured to extract modifications from content items received from client devices associated with users where the content items are modified using the modifications that &hellip;
US20250190050A1,A1,application,snap_filed,Bending-assisted calibration for extended reality tracking,Snap Inc.,Snap Inc,Thomas Faeulhammer,2023-09-29,2025-02-20,2025-06-12,,https://patentimages.storage.googleapis.com/89/63/98/800ffbe59ada07/US20250190050A1.pdf,https://patents.google.com/patent/US20250190050A1/en,"Bending data is used to facilitate tracking operations of an extended reality (XR) device, such as hand tracking or other object tracking operations. The XR device obtains bending data indicative of bending of the XR device to accommodate a body part of a user wearing the XR device. The XR device &hellip;"
US20250181170A1,A1,application,snap_filed,Vibrational input elements,Snap Inc.,Snap Inc,Chang Xiao,2019-03-29,2025-02-05,2025-06-05,,https://patentimages.storage.googleapis.com/d5/7f/d0/c78fd01bce458a/US20250181170A1.pdf,https://patents.google.com/patent/US20250181170A1/en,Systems and methods are provided that relate to vibrational input elements configured to provide inputs to control an application executed by a mobile computing device. The vibrational input elements may produce distinct vibration patterns that are detectable by a sensor of the mobile computing &hellip;
US20250181212A1,A1,application,snap_filed,Content discovery refresh,Snap Inc.,Snap Inc,Michael Brian Murray,2017-11-28,2025-02-05,2025-06-05,,https://patentimages.storage.googleapis.com/7e/fa/4b/d71beb12b918c0/US20250181212A1.pdf,https://patents.google.com/patent/US20250181212A1/en,"&hellip;  to users that are very close to this location. Rather than making the story available to all users within a larger geographic area, the system may automatically <b>assign</b> an area to the story, and may make the story available only to users in the area that was generated and assigned for that story."
WO2025170912A1,A1,application,snap_filed,3d mask generation,Snap Inc.,Snap Inc,Sergei Korolev,2024-02-08,2025-02-04,2025-08-14,,,https://patents.google.com/patent/WO2025170912A1/en,A three-dimensional (3D) trainable mask is geometrically adjusted based on two- dimensional (2D) images of a target image. The 3D trainable mask is applied to a face of a user within an image. Example methods include rendering a trainable three-dimensional (3D) mask to generate a two-dimensional ( &hellip;
US20250168488A1,A1,application,snap_filed,Scaled perspective zoom on resource constrained devices,Snap Inc.,Snap Inc,Linjie LUO,2017-06-15,2025-01-17,2025-05-22,,https://patentimages.storage.googleapis.com/d6/8f/98/1726296c5e2dcd/US20250168488A1.pdf,https://patents.google.com/patent/US20250168488A1/en,"A dolly zoom effect can be applied to one or more images captured via a resource-constrained device (e.g., a mobile smartphone) by manipulating the size of a target feature while the background in the one or more images changes due to physical movement of the resource-constrained device. The &hellip;"
US20250157162A1,A1,application,snap_filed,Orientation of augmented content in interaction systems,Snap Inc.,Snap Inc,Luke Cartwright,2023-03-21,2025-01-16,2025-05-15,,https://patentimages.storage.googleapis.com/04/35/4d/7deaf377202c1d/US20250157162A1.pdf,https://patents.google.com/patent/US20250157162A1/en,"&hellip;  direction and determines a reference angle between the imaginary reference plane and the second viewing direction. Based on the reference angle, the apparatus <b>assign</b> one of a billboard display mode and a headlock display mode (or combination) to the augmented content presented in the display."
US20250184460A1,A1,application,snap_filed,Effects for 3d data in a messaging system,Snap Inc.,Snap Inc,Kyle Goodrich,2019-08-28,2025-01-03,2025-06-05,,https://patentimages.storage.googleapis.com/da/b9/a3/d69698e476b89c/US20250184460A1.pdf,https://patents.google.com/patent/US20250184460A1/en,"The subject technology receives, at a client device, a selection of a selectable graphical item from a plurality of selectable graphical items, the selectable graphical item comprising an augmented reality content generator including a 3D effect. The subject technology applies, to image data and &hellip;"
US20250086909A1,A1,application,snap_filed,Augmented reality content generators including 3d data in a messaging system,Snap Inc.,Snap Inc,Kyle Goodrich,2020-04-13,2024-11-21,2025-03-13,,https://patentimages.storage.googleapis.com/d5/64/c4/2d074b320ea2ab/US20250086909A1.pdf,https://patents.google.com/patent/US20250086909A1/en,The subject technology generates a segmentation mask based on first image data. The subject technology applies the segmentation mask on first depth data to reduce a set of artifacts in a depth map based on the first depth data. The subject technology generates a packed depth map based at least in &hellip;
US20250063009A1,A1,application,snap_filed,Media item attachment system,Snap Inc.,Snap Inc,Newar Husam Al-Majid,2017-02-20,2024-11-07,2025-02-20,,https://patentimages.storage.googleapis.com/fe/e6/10/87cd8f7a2b0ea0/US20250063009A1.pdf,https://patents.google.com/patent/US20250063009A1/en,"A user at a first client device generates media content (e.g., digital video) to attach to a message to a second client device. In response to attaching the media content top the message, the media attachment system prompts the user to <b>assign</b> an address to second media content to the message. For &hellip;"
US20250061730A1,A1,application,snap_filed,Scene reconstruction in three-dimensions from two-dimensional images,Snap Inc.,Snap Inc,Riza Alp Guler,2019-06-17,2024-11-04,2025-02-20,,https://patentimages.storage.googleapis.com/dc/f9/42/1a3a5f1cdf3722/US20250061730A1.pdf,https://patents.google.com/patent/US20250061730A1/en,"This specification relates to reconstructing three-dimensional (3D) scenes from two-dimensional (2D) images using a neural network. According to a first aspect of this specification, there is described a method for creating a three-dimensional reconstruction of a scene with multiple objects from a &hellip;"
US20250022238A1,A1,application,snap_filed,9-dof object tracking,Snap Inc.,Snap Inc,Itamar Berger,2022-09-30,2024-10-02,2025-01-16,,https://patentimages.storage.googleapis.com/67/f2/87/6385610cd9a123/US20250022238A1.pdf,https://patents.google.com/patent/US20250022238A1/en,Aspects of the present disclosure involve a system for presenting AR items. The system receives a video that includes a depiction of a real-world object in a real-world environment. The system generates a three-dimensional (3D) bounding box for the real-world object and stabilizes the 3D bounding &hellip;
US20240402877A1,A1,application,snap_filed,Map-based graphical user interface indicating geospatial activity metrics,Snap Inc.,Snap Inc,Daniel Amitay,2017-04-27,2024-08-12,2024-12-05,,https://patentimages.storage.googleapis.com/ca/14/1d/2e7ee106583ff0/US20240402877A1.pdf,https://patents.google.com/patent/US20240402877A1/en,"A map-based graphical user interface (GUI) for a public messaging platform allows a user location-based to their own expired ephemeral content. Such expired content is no longer available to other users for online viewing. The user can, however, switch the GUI between a live mode and a historical &hellip;"
US20240393925A1,A1,application,snap_filed,Messaging system for resurfacing content items,Snap Inc.,Snap Inc,Jonathan Dale Brody,2020-12-21,2024-08-07,2024-11-28,,https://patentimages.storage.googleapis.com/ff/75/8c/42e11b442b72cf/US20240393925A1.pdf,https://patents.google.com/patent/US20240393925A1/en,wherein determining the score to <b>assign</b> to the interaction further comprises: incrementing a number of times the interaction is performed each time the user performs the interaction on the content item; determining a score to <b>assign</b> to the interaction using a first weight for the interaction if the &hellip;
CN121816734A,A,application,snap_filed,Automatic ranking and display of user groups in a messaging system,斯纳普公司,Snap Inc,伊莎贝尔·阿尔维,2023-08-07,2024-08-07,2026-04-07,,,https://patents.google.com/patent/CN121816734A/en,"&hellip;  their status as set-top groups with graphical icons. In some implementations, the user may provide input to <b>assign</b> their selected graphical icons (such as emoticons, digital emoticons, or symbols) to display alongside each of their set-top groups in order to visually identify the set-top groups."
US20240393924A1,A1,application,snap_filed,Message thread prioritization interface,Snap Inc.,Snap Inc,Jeremy Voss,2019-08-05,2024-08-01,2024-11-28,,https://patentimages.storage.googleapis.com/a5/88/e8/86556327ade087/US20240393924A1.pdf,https://patents.google.com/patent/US20240393924A1/en,"Responsive to allocating a message thread to the allocable region, the message prioritization interface may <b>assign</b> one or more graphical icons to the display of the message thread to provide an indication that the message thread has been pinned to the first position in the GUI that correspond with &hellip;"
US20240362863A1,A1,application,snap_filed,Location based augmented-reality system,Snap Inc.,Snap Inc,Piers George Cowburn,2019-04-04,2024-07-05,2024-10-31,,https://patentimages.storage.googleapis.com/6f/d8/9b/3c6f9d5f259943/US20240362863A1.pdf,https://patents.google.com/patent/US20240362863A1/en,"In some example embodiments, the media content includes 3D typography. For example, the location-based AR system may <b>assign</b> a set of geo-location coordinates to the 3D typography and present the 3D typography as AR content in a presentation of an image at a client device. A text string f the 3D &hellip;"
US20240323641A1,A1,application,snap_filed,Visitation tracking system,Snap Inc.,Snap Inc,Xueyin Chen,2018-04-18,2024-06-04,2024-09-26,,https://patentimages.storage.googleapis.com/e1/49/b6/dc9eefb7c68fd5/US20240323641A1.pdf,https://patents.google.com/patent/US20240323641A1/en,"&hellip;  as the user is riding along a path to a destination, the visitation tracking system retrieves location data that identifies a location of the client device at any given time along the drive. As discussed above, the visitation tracking system may additionally <b>assign</b> time-stamps to the location data."
KR20260018968A,A,application,snap_filed,Presenting media content as memories,스냅 인코포레이티드,Snap Inc,네이선 케네스 보이드,2023-06-02,2024-05-30,2026-02-09,,,https://patents.google.com/patent/KR20260018968A/en,"As a system, one or more hardware processors; and At least one memory storing instructions that cause one or more hardware processors to perform operations, wherein the operations are: An action to retrieve a first set of media content captured by an interactive client included in a client device;"
US20240320417A1,A1,application,snap_filed,Annotating a collection of media content items,Snap Inc.,Snap Inc,Newar Husam Al Majid,2018-03-30,2024-05-29,2024-09-26,,https://patentimages.storage.googleapis.com/3e/c4/d6/902dd55fde374d/US20240320417A1.pdf,https://patents.google.com/patent/US20240320417A1/en,"Various embodiments provide for systems, methods, and computer-readable storage media for annotating a collection of media items, such as digital images. According to some embodiments, an annotation system automatically determines one or more annotations for a plurality of media content items, and &hellip;"
US20240314100A1,A1,application,snap_filed,Messaging system of partial and out-of-order events,Snap Inc.,Snap Inc,Bradley Baron,2020-03-31,2024-05-28,2024-09-19,,https://patentimages.storage.googleapis.com/e3/64/9b/3dd4a11a42172d/US20240314100A1.pdf,https://patents.google.com/patent/US20240314100A1/en,"Methods, systems, and computer readable medium are provided for receiving an event message in a plurality of event messages, the event message comprising a sequence number and associated data, identifying the event message as an out-of-order event message based on the sequence number, assigning a &hellip;"
US20240302932A1,A1,application,snap_filed,Standardized ar interfaces for iot devices,Snap Inc.,Snap Inc,Sven Kratz,2022-06-15,2024-05-16,2024-09-12,,https://patentimages.storage.googleapis.com/af/7b/7f/aeea56cec59e2a/US20240302932A1.pdf,https://patents.google.com/patent/US20240302932A1/en,"&hellip;  for use with the system are described. By utilizing a camera on various messaging or AR platforms, such as SNAPCHAT® or SPECTACLES™ available from <b>Snap, Inc</b>. of Santa Monica, California, users may create fun and immersive ways of interacting with IoT devices through the standardized AR interfaces."
CN121127813A,A,application,snap_filed,Augmented Reality Mood Board,斯纳普公司,Snap Inc,卢克·卡特赖特,2023-05-04,2024-04-26,2025-12-12,,,https://patents.google.com/patent/CN121127813A/en,"&hellip;  , an &#34;augmented reality effect&#34; includes a collection of data, parameters, and other assets for applying a selected augmented reality experience to an image or video feed. In some examples, the augmented reality effect is provided by <b>Snap inc</b> (sinapu corporation) under registered trademark LENSES."
US20240273136A1,A1,application,snap_filed,Systems and methods for mobile image search,Snap Inc.,Snap Inc,Jonathan Brody,2016-07-05,2024-04-23,2024-08-15,,https://patentimages.storage.googleapis.com/72/d6/40/fee1399259e0cf/US20240273136A1.pdf,https://patents.google.com/patent/US20240273136A1/en,&hellip;  of the first image in a neural network to determine one or more characteristics of the image data selected from a set of tags and based at least in part on image content of the first image; processing the one or more characteristics to <b>assign</b> a privacy status indicator for the image data; and &hellip;
US20240273154A1,A1,application,snap_filed,Automatic article enrichment by social media trends,Eran Cohen,Snap Inc,Eran Cohen,2014-06-05,2024-04-22,2024-08-15,,https://patentimages.storage.googleapis.com/49/3b/82/6253289cff2950/US20240273154A1.pdf,https://patents.google.com/patent/US20240273154A1/en,"There is provided a method for creating a presentation based on grouping of social media content, comprising: receiving a trend represented by at least one term; sending first requests to social network servers, each request including the at least one term; aggregating first user uploaded media &hellip;"
US12567102B2,B2,grant,snap_filed,Customized virtual store,Snap Inc.,Snap Inc,Itamar Berger,2021-05-19,2024-04-04,2026-03-03,2026-03-03,,https://patents.google.com/patent/US12567102B2/en,"Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing a program and a method for performing operations comprising: receiving, from a client device of a first user, a request from the first user to engage in an AR shopping experience curated by a &hellip;"
US20240251004A1,A1,application,snap_filed,Dynamically assigning participant video feeds within virtual conferencing &hellip;,Snap Inc.,Snap Inc,Emily Cho,2022-09-20,2024-04-03,2024-07-25,,https://patentimages.storage.googleapis.com/be/38/e8/5d4067d1b2b671/US20240251004A1.pdf,https://patents.google.com/patent/US20240251004A1/en,"By virtue of allowing a user to customize sets of rooms with respective numbers of participant video elements (e.g., seating capacities), and to dynamically <b>assign</b> participant video feeds to participant video elements during virtual conferencing, it is possible for the user to create different &hellip;"
US20240296066A1,A1,application,snap_filed,Asynchronous task framework,Snap Inc.,Snap Inc,Ryan Olson,2023-03-03,2024-03-01,2024-09-05,,https://patentimages.storage.googleapis.com/33/12/a4/5796f2b81db8ff/US20240296066A1.pdf,https://patents.google.com/patent/US20240296066A1/en,"14 . The system of claim 13 , wherein the publisher is further configured to: <b>assign</b> the marshalled tasks and provide the gathered data to the relayers; wherein the relayers are further configured to unmarshall the tasks. 15 . A non-transitory computer-readable storage medium storing instructions that &hellip;"
US20240205289A1,A1,application,snap_filed,Dynamically assigning storage locations for messaging system data,Snap Inc.,Snap Inc,Bradley Baron,2020-03-31,2024-02-28,2024-06-20,,https://patentimages.storage.googleapis.com/fb/20/b9/ad62a501a5c62c/US20240205289A1.pdf,https://patents.google.com/patent/US20240205289A1/en,124 in the client device 102 to exchange data used identify and <b>assign</b> storage locations to data associated with a user and data associated with a communication session including a plurality of users. The data storage server controller 126 can also be coupled to the messaging server application 114
US12580784B2,B2,grant,snap_filed,Shared augmented reality experience in video chat,Snap Inc.,Snap Inc,Nathan Richard Banks,2022-04-25,2024-02-27,2026-03-17,2026-03-17,,https://patents.google.com/patent/US12580784B2/en,"Methods and systems are disclosed for performing operations for providing a shared augmented reality experience in a video chat. A video chat can be established between a plurality of client devices. During the video chat, videos of users associated with the client devices can be displayed. During &hellip;"
EP4662626A1,A1,application,snap_filed,Browsing-based augmented reality try-on experience,Snap Inc.,Snap Inc,Matan Zohar,2023-02-09,2024-02-08,2025-12-17,,,https://patents.google.com/patent/EP4662626A1/en,"Aspects of the present disclosure involve a system for providing a browsing-based augmented reality (AR) try-on experience. The system displays a graphical user interface (GUI) comprising a set of fashion items. The system receives a real-time video feed from a camera of the device, the real-time &hellip;"
KR20250143111A,A,application,snap_filed,Chatbots for Interaction Platforms,스냅 인코포레이티드,Snap Inc,윌리엄 스펜서 멀리건,2023-02-06,2024-02-05,2025-09-30,,,https://patents.google.com/patent/KR20250143111A/en,"A chatbot system for filtering conversational content. The chatbot system receives user prompts from a client system during an interaction session. The chatbot system filters the user prompts based on a set of platform policies, generates responses based on the filtered user prompts, and &hellip;"
US12238057B2,B2,grant,snap_filed,Prohibited content propagation using a social network data structure,Snap Inc.,Snap Inc,Mette F. M. Hammer,2010-06-29,2023-12-14,2025-02-25,2025-02-25,https://patentimages.storage.googleapis.com/14/88/c8/4c7117fe33e0a6/US12238057.pdf,https://patents.google.com/patent/US12238057B2/en,"&hellip;  with a proximity policy which can enable a sender node to control which recipient nodes within the social network can receive the email. For instance, Alice can <b>assign</b> a proximity policy to her email to Bob, who can be prohibited from forwarding the email to anyone outside Alice&#39;s social network."
US12287961B2,B2,grant,snap_filed,Providing bot participants within a virtual conferencing system,Snap Inc.,Snap Inc,Andrew Cheng-min Lin,2022-07-09,2023-12-08,2025-04-29,2025-04-29,https://patentimages.storage.googleapis.com/a7/74/4e/263b399fef0ee8/US12287961B2.pdf,https://patents.google.com/patent/US12287961B2/en,"Aspects of the present disclosure involve a system comprising a computer-readable storage medium storing a program and method for providing bot participants for virtual conferencing. The program and method provide, in association with designing a virtual space, a first interface for configuring &hellip;"
US20240045899A1,A1,application,snap_filed,Icon based tagging,Snap Inc.,Snap Inc,Luis Carlos Dos Santos Marujo,2018-02-13,2023-10-18,2024-02-08,,https://patentimages.storage.googleapis.com/8f/0a/0f/dbd70816ea00f3/US20240045899A1.pdf,https://patents.google.com/patent/US20240045899A1/en,"Example embodiments described herein relate to an icon based tagging system to associate a graphical icon (e.g., an emoji) with a data category, receive media content that includes a data object and the graphical icon, <b>assign</b> the media content to the data category based on the presence of the &hellip;"
US20230419578A1,A1,application,snap_filed,State-space system for pseudorandom animation,Snap Inc.,Snap Inc,Gurunandan Krishnan Gorumkonda,2019-09-30,2023-09-06,2023-12-28,,https://patentimages.storage.googleapis.com/6a/06/6a/ceb371124cefd6/US20230419578A1.pdf,https://patents.google.com/patent/US20230419578A1/en,"The control points can have possible motions assigned to describe all possible movements of all parts of the model. A designer can then <b>assign</b> a probability to each motion, so that during a displayed animation, the likelihood of certain motions occurring are set probabilistically by the designer."
WO2024044544A1,A1,application,snap_filed,Grouping similar words in a language model,Snap Inc.,Snap Inc,Jackie Assa,2022-08-22,2023-08-21,2024-02-29,,https://patentimages.storage.googleapis.com/07/ec/9e/d23d176b3483ad/WO2024044544A1.pdf,https://patents.google.com/patent/WO2024044544A1/en,"Systems and methods are provided for performing automated speech recognition. The systems and methods access a LM that includes a plurality of n-grams, each of the plurality of n-grams comprising a respective sequence of words and corresponding LM score and receive a list of words associated with &hellip;"
KR20250056239A,A,application,snap_filed,Social memory re-experience system,스냅 인코포레이티드,Snap Inc,라잔 바이쉬,2022-08-31,2023-08-16,2025-04-25,,https://patentimages.storage.googleapis.com/df/2f/a4/29ba60aa176086/KR20250056239A.pdf,https://patents.google.com/patent/KR20250056239A/en,"The system monitors a user environment via one or more sensors included in the computing device, and detects, via a trigger, that event data is stored in a data store based on such monitoring. The system further detects one or more participants from the event data, and invites the one or more &hellip;"
WO2024026033A1,A1,application,snap_filed,Detection of unwanted calls or caller intent based on a fusion of acoustic and &hellip;,Realnetworks Llc,Snap Inc,Branimir DROPULJIC,2022-07-29,2023-07-27,2024-02-01,,https://patentimages.storage.googleapis.com/ef/fb/81/aa5cdd89eede21/WO2024026033A1.pdf,https://patents.google.com/patent/WO2024026033A1/en,"16. The computing device of claim 11, wherein the processor assigns the text categories for the call by further executing the computer instructions to: employ a modified classical transformer-based text architecture on the speech signal to <b>assign</b> the text categories, wherein the modified classical &hellip;"
US20240169456A1,A1,application,snap_filed,"Open house realty system, server and method",Shannon Lee Quagliata,Snap Inc,Shannon Lee Quagliata,2018-03-13,2023-06-20,2024-05-23,,https://patentimages.storage.googleapis.com/f9/6e/af/5603fad2524542/US20240169456A1.pdf,https://patents.google.com/patent/US20240169456A1/en,"Some embodiments include a computer-implemented method of providing a computer system including a processor and access to at least one coupled source of real estate records. A storage medium includes program logic that when executed by a coupled processor, causes the computer system to access or &hellip;"
US20230316746A1,A1,application,snap_filed,Shared augmented reality system,Snap Inc.,Snap Inc,David Li,2020-03-27,2023-05-31,2023-10-05,,https://patentimages.storage.googleapis.com/77/2f/f7/e45bf3121cd6ea/US20230316746A1.pdf,https://patents.google.com/patent/US20230316746A1/en,"In some embodiments, the shared AR system may <b>assign</b> a user of the client device to a “team” responsive to detecting the client device associated with the user at a location. Detection of the client device at a location may be based on a geo-fence that encompasses the location, location data &hellip;"
CN119256326A,A,application,snap_filed,Creating an Enhanced Content Item,斯纳普公司,Snap Inc,丹尼尔·文森特·格里皮,2022-05-23,2023-05-18,2025-01-03,,https://patentimages.storage.googleapis.com/fb/f6/cf/3b9c9640124e2b/CN119256326A.pdf,https://patents.google.com/patent/CN119256326A/en,The third-party user input content item is presented on a user device of the user. A first content enhancement of the third-party user input content item is determined by the first content enhancement function. A camera graphical element is presented. The camera graphical element is selectable by &hellip;
US20230281930A1,A1,application,snap_filed,Providing 3d data for messages in a messaging system,Snap Inc.,Snap Inc,Kyle Goodrich,2019-08-28,2023-05-05,2023-09-07,,https://patentimages.storage.googleapis.com/12/48/55/34bc0d6f08f7e8/US20230281930A1.pdf,https://patents.google.com/patent/US20230281930A1/en,"The subject technology generates depth data using a machine learning model based at least in part on captured image data from at least one camera of a client device. The subject technology applies, to the captured image data and the generated depth data, a 3D effect based at least in part on an &hellip;"
US20230260180A1,A1,application,snap_filed,Automated dance animation,Snap Inc.,Snap Inc,Gurunandan Krishnan Gorumkonda,2019-09-30,2023-04-25,2023-08-17,,https://patentimages.storage.googleapis.com/5f/90/0b/93bc7275340708/US20230260180A1.pdf,https://patents.google.com/patent/US20230260180A1/en,"The control points can have possible motions assigned to describe all possible movements of all parts of the model. A designer can then <b>assign</b> a probability to each motion, so that during a displayed animation, the likelihood of certain motions occurring are set probabilistically by the designer."
US20230262082A1,A1,application,snap_filed,Machine learning powered authentication challenges,Snap Inc.,Snap Inc,Neil Shah,2019-06-24,2023-04-20,2023-08-17,,https://patentimages.storage.googleapis.com/13/2b/3f/40d742b5750af5/US20230262082A1.pdf,https://patents.google.com/patent/US20230262082A1/en,"further associates each login feature vector with an associated challenge response label. For example, the training data generation system 204 may comprise a set of rules which <b>assign</b> each feature in a login feature vector with a predefined risk score. The training data generation system 204"
KR20240137630A,A,application,snap_filed,Object replacement system,스냅 인코포레이티드,Snap Inc,비아체스라브 이바노브,2022-01-19,2023-01-18,2024-09-20,,https://patentimages.storage.googleapis.com/f3/f7/e3/6caf85536f13d3/KR20240137630A.pdf,https://patents.google.com/patent/KR20240137630A/en,"Aspects of the present disclosure involve a system including a computer-readable storage medium storing programs and methods for performing operations, including: receiving an image comprising a depiction of a real-world environment; processing the image to obtain data indicating the presence of a &hellip;"
US20230146563A1,A1,application,snap_filed,Automated image processing and insight presentation,Snap Inc.,Snap Inc,Harsh Agrawal,2019-01-31,2023-01-04,2023-05-11,,https://patentimages.storage.googleapis.com/23/4d/18/538bbf4d020ea5/US20230146563A1.pdf,https://patents.google.com/patent/US20230146563A1/en,"Systems, methods, devices, computer readable instruction media, and other embodiments are described for automated image processing and insight presentation. One embodiment involves receiving a plurality of ephemeral content messages from a plurality of client devices, and processing the messages &hellip;"
US11889381B2,B2,grant,snap_filed,"Generation, curation, and presentation of media collections",Snap Inc.,Snap Inc,Nicholas Richard Allen,2016-02-26,2022-12-29,2024-01-30,2024-01-30,https://patentimages.storage.googleapis.com/be/c4/66/113c8bd88b0198/US11889381.pdf,https://patents.google.com/patent/US11889381B2/en,Systems and methods are provided for receiving input increasing a default predetermined window of time that the new media collection is accessible and activating the new media collection for the increased predetermined window of time and a geographic boundary size for where media content &hellip;
WO2023129441A1,A1,application,snap_filed,Ar position indicator,Snap Inc.,Snap Inc,Avihay ASSOULINE,2021-12-30,2022-12-21,2023-07-06,,https://patentimages.storage.googleapis.com/5e/dc/c0/62b7bdf5ab0cfc/WO2023129441A1.pdf,https://patents.google.com/patent/WO2023129441A1/en,Aspects of the present disclosure involve a system for presenting augmented reality (AR) items. The system performs operations including receiving a video that includes a depiction of a real-world environment and generating a 3D model of the real-world environment based on the video. The &hellip;
WO2023129442A2,A2,application,snap_filed,Augmented reality product recommendations,Snap Inc.,Snap Inc,Avihay ASSOULINE,2021-12-30,2022-12-21,2023-07-06,,https://patentimages.storage.googleapis.com/f8/52/e4/0eb6e99e5dbe94/WO2023129442A2.pdf,https://patents.google.com/patent/WO2023129442A2/en,"What is claimed is: 1. A method comprising: receiving, by one or more processors, a video that includes a depiction of a real -world object in a real -world environment; determining a classification for the real-world environment by processing the real -world object depicted in the video;"
